Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Population totale millions,Production,"Valeur US $, aux prix du 2015",Zone
Viande de Volailles,Viande de Volailles,Viande de Volailles,Population-Estimations,Viande de Volailles,Produit Intérieur Brut Par Habitant,
126.0,8.0,161.0,23.674546,652.0,24954.227210946305,"Chine, Taiwan Province de"
91.0,1.0,14.0,1.179678,25.0,19009.937952559936,Chypre
111.0,2.0,78.0,48.909839,1564.0,6208.987757453056,Colombie
72.0,0.0,104.0,5.110695,7.0,2095.8824238190696,Congo
92.0,3.0,17.0,4.949954,133.0,12375.926930028036,Costa Rica
37.0,17.0,24.0,4.182857,61.0,12891.588099473636,Croatie
82.0,0.0,312.0,11.339254,29.0,7869.9536720846,Cuba
8.0,0.0,7.0,24.43747,58.0,2156.517324379324,Côte d'Ivoire
112.0,139.0,133.0,5.732274,173.0,56053.77027895038,Danemark
9.0,0.0,3.0,0.944099,0.0,2911.7150584843325,Djibouti
150.0,0.0,4.0,0.071458,0.0,7249.782655545916,Dominique
71.0,2.0,16.0,6.388126000000001,136.0,3847.069750346189,El Salvador
105.0,212.0,205.0,46.647428,1515.0,27196.76784597856,Espagne
86.0,11.0,21.0,1.31939,20.0,18925.967062051404,Estonie
22.0,0.0,2.0,1.124805,6.0,3721.0877956623594,Eswatini
97.0,0.0,3.0,0.877459,23.0,5767.075184139658,Fidji
68.0,12.0,16.0,5.5113710000000005,129.0,45129.60027078561,Finlande
92.0,501.0,506.0,64.84250899999999,1750.0,38884.97297388663,France
104.0,115.0,226.0,145.530082,4444.0,9558.699710689369,Fédération de Russie
99.0,0.0,76.0,2.064823,4.0,7139.663203092953,Gabon
12.0,0.0,16.0,2.213889,2.0,665.2161811183848,Gambie
16.0,0.0,151.0,29.121465,60.0,1920.4459230674006,Ghana
192.0,0.0,7.0,0.110874,1.0,9742.598905063405,Grenade
53.0,29.0,79.0,10.569450000000002,246.0,18617.599800935714,Grèce
71.0,7.0,129.0,16.91497,235.0,3891.0982110521036,Guatemala
14.0,0.0,37.0,12.067519,13.0,890.7884192268518,Guinée
7.0,0.0,4.0,1.828145,3.0,644.8715758323327,Guinée-Bissau
165.0,0.0,0.0,0.775222,31.0,5945.018297984319,Guyana
51.0,5.0,51.0,4.008716,22.0,4024.6119153863733,Géorgie
31.0,0.0,89.0,10.982366,9.0,1349.8814294661095,Haïti
93.0,1.0,12.0,9.429013000000001,193.0,2423.5951628235102,Honduras
104.0,210.0,58.0,9.729823,493.0,13709.844440952318,Hongrie
25.0,0.0,1.0,264.650963,2301.0,3589.715614218264,Indonésie
96.0,45.0,6.0,80.673883,2174.0,5782.675816100236,Iran (République islamique d')
52.0,0.0,470.0,37.552781,96.0,4961.410617312204,Iraq
100.0,93.0,99.0,4.753279,110.0,68394.63620292433,Irlande
104.0,0.0,2.0,0.334393,10.0,58023.345485700964,Islande
234.0,3.0,0.0,8.243848,629.0,39962.651868763234,Israël
65.0,183.0,97.0,60.673701,1315.0,31161.148092498923,Italie
178.0,1.0,31.0,2.920848,128.0,4976.796980876787,Jamaïque
